"","Index","Age","Gender","Word","If_word","Decision","Answer","RT","Word_length","Uniqueness_point"
"1",1,18,"male","плечо","yes","space","right",1.21779020014219,0.710113378684807,0.71011337868481
"2",1,18,"male","груша","yes","space","right",1.02287909993902,0.676507936507937,0.67650793650794
"3",1,18,"male","утка","yes","space","right",0.992662000004202,0.554943310657596,0.426872095372802
"4",1,18,"male","губа","yes","space","right",1.53590469993651,0.597233560090703,0.5972335600907
"5",1,18,"male","лужа","yes","space","right",1.03491649986245,0.618072562358277,0.61807256235828
"6",1,18,"male","растол","no",NA,"right",NA,0.769523809523809,NA
"7",1,18,"male","точка","yes","space","right",1.09752329997718,0.715963718820862,0.60302732003363
"8",1,18,"male","удар","yes","space","right",1.02446670015342,0.658707482993197,0.6587074829932
"9",1,18,"male","малянц","no",NA,"right",NA,0.720113378684807,NA
"10",1,18,"male","сларты","no",NA,"right",NA,0.805600907029479,NA
"11",1,18,"male","васка","no",NA,"right",NA,0.663219954648526,NA
"12",1,18,"male","кеха","no",NA,"right",NA,0.665102040816327,NA
"13",1,18,"male","тифон","no",NA,"right",NA,0.769410430839002,NA
"14",1,18,"male","зутан","no",NA,"right",NA,0.730589569160998,NA
"15",1,18,"male","свинья","yes","space","right",1.16742760012858,0.812539682539683,0.656444199301342
"16",1,18,"male","месяц","yes","space","right",1.18070949986577,0.859365079365079,0.85936507936508
"17",1,18,"male","витлюн","no",NA,"right",NA,0.802290249433107,NA
"18",1,18,"male","сова","yes","space","right",1.06781130004674,0.67546485260771,0.67546485260771
"19",1,18,"male","вата","yes","space","right",0.92366940015927,0.532721088435374,0.53272108843537
"20",1,18,"male","трефин","no",NA,"right",NA,0.793061224489796,NA
"21",1,18,"male","кнопка","yes","space","right",1.15825159987435,0.840702947845805,0.70274041357417
"22",1,18,"male","чудо","yes","space","right",1.10689809988253,0.69172335600907,0.69172335600907
"23",1,18,"male","чигност","no",NA,"right",NA,1.04362811791383,NA
"24",1,18,"male","циньво","no",NA,"right",NA,0.689365079365079,NA
"25",1,18,"male","звонок","yes","space","right",1.10742389992811,0.842789115646258,0.84278911564626
"26",1,18,"male","живот","yes","space","right",1.06911359983496,0.830294784580499,0.8302947845805
"27",1,18,"male","бочка","yes","space","right",1.00472019985318,0.602244897959184,0.60224489795918
"28",1,18,"male","кольцо","yes","space","right",1.17945850011893,0.795374149659864,0.79537414965986
"29",1,18,"male","изжань","no",NA,"right",NA,0.649047619047619,NA
"30",1,18,"male","вишня","yes","space","right",1.13956740009598,0.640770975056689,0.490059822174483
"31",1,18,"male","дрыпля","no",NA,"right",NA,0.69124716553288,NA
"32",1,18,"male","новзик","no",NA,"right",NA,0.731224489795918,NA
"33",1,18,"male","апаж","no",NA,"right",NA,0.728208616780045,NA
"34",1,18,"male","санки","yes","space","right",1.33881790004671,0.677981859410431,0.592311775708747
"35",1,18,"male","ложка","yes","space","right",1.24824129999615,0.660430839002268,0.550609410430839
"36",1,18,"male","школа","yes","space","right",1.11545719997957,0.799138321995465,0.79913832199546
"37",1,18,"male","глека","no",NA,"right",NA,0.727528344671202,NA
"38",1,18,"male","вогой","no",NA,"right",NA,0.836281179138322,NA
"39",1,18,"male","еверть","no",NA,"right",NA,0.775555555555556,NA
"40",1,18,"male","эпрад","no",NA,"right",NA,0.702879818594104,NA
"41",1,18,"male","котчох","no",NA,"right",NA,0.909773242630386,NA
"42",1,18,"male","яшель","no",NA,"right",NA,0.658866213151927,NA
"43",1,18,"male","мероть","no",NA,"right",NA,0.657278911564626,NA
"44",1,18,"male","прекифь","no",NA,"right",NA,0.914149659863946,NA
"45",1,18,"male","трава","yes","space","right",1.12521379999816,0.671496598639456,0.67149659863946
"46",1,18,"male","дира","no",NA,"right",NA,0.562698412698413,NA
"47",1,18,"male","кухня","yes","space","right",1.17321019992232,0.694399092970521,0.584394068860329
"48",1,18,"male","чинтирь","no",NA,"right",NA,0.848798185941043,NA
"49",1,18,"male","вечер","yes","space","right",1.21745999995619,0.882834467120181,0.88283446712018
"50",1,18,"male","хика","no",NA,"right",NA,0.607278911564626,NA
"51",1,18,"male","ваза","yes","space","right",1.0622215999756,0.640634920634921,0.64063492063492
"52",1,18,"male","дярка","no",NA,"right",NA,0.683673469387755,NA
"53",1,18,"male","локоть","yes","space","right",1.25976220006123,0.742857142857143,0.74285714285714
"54",1,18,"male","желсок","no",NA,"right",NA,0.799455782312925,NA
"55",1,18,"male","щука","yes","space","right",0.893053000094369,0.585328798185941,0.447002056449208
"56",1,18,"male","мясо","yes","space","right",1.06529739988036,0.548163265306122,0.54816326530612
"57",1,18,"male","мулдув","no",NA,"right",NA,0.793219954648526,NA
"58",1,18,"male","раква","no",NA,"right",NA,0.614444444444444,NA
"59",1,18,"male","беда","yes","space","right",0.969723099842668,0.516145124716553,0.51614512471655
"60",1,18,"male","адрес","yes","space","right",0.961022899951786,0.555578231292517,0.55557823129252
"61",1,18,"male","войстов","no",NA,"right",NA,0.882879818594104,NA
"62",1,18,"male","ходо","no",NA,"right",NA,0.653968253968254,NA
"63",1,18,"male","йогурт","yes","space","right",1.2300820001401,0.89843537414966,0.567954121042356
"64",1,18,"male","треза","no",NA,"right",NA,0.69249433106576,NA
"65",1,18,"male","земля","yes","space","right",0.996990500018001,0.63297052154195,0.63297052154195
"66",1,18,"male","фойза","no",NA,"right",NA,0.728820861678005,NA
"67",1,18,"male","сжичка","no",NA,"right",NA,0.774852607709751,NA
"68",1,18,"male","долькшнет","no",NA,"right",NA,0.905351473922902,NA
"69",1,18,"male","рука","yes","space","right",1.00367400003597,0.67249433106576,0.67249433106576
"70",1,18,"male","пунцичь","no",NA,"right",NA,0.870725623582766,NA
"71",1,18,"male","полер","no",NA,"right",NA,0.689886621315193,NA
"72",1,18,"male","море","yes","space","right",1.12793219997548,0.620272108843537,0.62027210884354
"73",1,18,"male","пюре","yes","space","right",1.01808359986171,0.601111111111111,0.371000218784447
"74",1,18,"male","город","yes","space","right",1.11280500004068,0.802040816326531,0.80204081632653
"75",1,18,"male","пелань","no",NA,"right",NA,0.705873015873016,NA
"76",1,18,"male","тётя","yes","space","right",1.06604039995,0.719569160997732,0.71956916099773
"77",1,18,"male","неворт","no",NA,"right",NA,0.705147392290249,NA
"78",1,18,"male","рукса","no",NA,"right",NA,0.598095238095238,NA
"79",1,18,"male","тиня","no",NA,"right",NA,0.689229024943311,NA
"80",1,18,"male","тунка","no",NA,"right",NA,0.67530612244898,NA
"81",1,18,"male","опрыдь","no",NA,"right",NA,0.6640589569161,NA
"82",1,18,"male","апонь","no",NA,"right",NA,0.576916099773243,NA
"83",1,18,"male","пират","yes","space","right",1.25545429997146,0.749614512471655,0.74961451247166
"84",1,18,"male","щекниль","no",NA,"right",NA,0.786031746031746,NA
"85",1,18,"male","хруты","no",NA,"right",NA,0.757392290249433,NA
"86",1,18,"male","шелир","no",NA,"right",NA,0.734648526077098,NA
"87",1,18,"male","хопье","no",NA,"right",NA,0.669183673469388,NA
"88",1,18,"male","смилок","no",NA,"right",NA,0.825442176870748,NA
"89",1,18,"male","диван","yes","space","right",0.986047799931839,0.564240362811791,0.56424036281179
"90",1,18,"male","мистна","no",NA,"right",NA,0.701224489795918,NA
"91",1,18,"male","пленто","no",NA,"right",NA,0.802426303854875,NA
"92",1,18,"male","полёт","yes","space","right",1.21506229997612,0.781814058956916,0.78181405895692
"93",1,18,"male","овог","no",NA,"right",NA,0.589365079365079,NA
"94",1,18,"male","ниппа","no",NA,"right",NA,0.610294784580499,NA
"95",1,18,"male","прена","no",NA,"right",NA,0.699863945578231,NA
"96",1,18,"male","носок","yes","space","right",1.11397469998337,0.797845804988662,0.79784580498866
"97",1,18,"male","пазошь","no",NA,"right",NA,0.812902494331066,NA
"98",1,18,"male","черан","no",NA,"right",NA,0.672517006802721,NA
"99",1,18,"male","луна","yes","space","right",0.945864100009203,0.557210884353741,0.55721088435374
"100",1,18,"male","зелер","no",NA,"right",NA,0.692539682539683,NA
"101",1,18,"male","палка","yes","space","right",1.08489600010216,0.630430839002268,0.50945855745969
"102",1,18,"male","часы","yes","space","right",1.09798970003612,0.658888888888889,0.65888888888889
"103",1,18,"male","глаза","yes","space","right",0.941032400121912,0.652448979591837,0.65244897959184
"104",1,18,"male","сцурка","no",NA,"right",NA,0.854875283446712,NA
"105",1,18,"male","урул","no",NA,"right",NA,0.62031746031746,NA
"106",1,18,"male","солнце","yes","space","right",1.22305379994214,0.736235827664399,0.7362358276644
"107",1,18,"male","ювак","no",NA,"right",NA,0.732131519274376,NA
"108",1,18,"male","жена","yes","space","right",0.975116099929437,0.649365079365079,0.64936507936508
"109",1,18,"male","мильца","no",NA,"right",NA,0.712403628117914,NA
"110",1,18,"male","бикень","no",NA,"right",NA,0.733242630385488,NA
"111",1,18,"male","лампа","yes","space","right",1.11863010004163,0.687641723356009,0.68764172335601
"112",1,18,"male","доска","yes","space","right",1.10448829992674,0.765487528344671,0.599732793742769
"113",1,18,"male","зебра","yes","space","right",1.09615809982643,0.715260770975057,0.469150163769211
"114",1,18,"male","слово","yes","space","right",1.1208838999737,0.727210884353741,0.72721088435374
"115",1,18,"male","мыло","yes","space","right",0.896313000004739,0.54249433106576,0.409363856653772
"116",1,18,"male","барнак","no",NA,"right",NA,0.844988662131519,NA
"117",1,18,"male","угол","yes","space","right",2.56112500000745,0.62671201814059,0.62671201814059
"118",1,18,"male","туан","no",NA,"right",NA,0.624761904761905,NA
"119",1,18,"male","мешок","yes","space","right",1.1354405998718,0.789138321995465,0.78913832199546
"120",1,18,"male","шехня","no",NA,"right",NA,0.765238095238095,NA
"121",1,18,"male","гнездо","yes","space","right",0.985635600052774,0.765510204081633,0.76551020408163
"122",1,18,"male","поле","yes","space","right",1.09404040011577,0.675600907029479,0.67560090702948
"123",1,18,"male","яйцо","yes","space","right",1.02335130004212,0.629863945578231,0.235612244897958
"124",1,18,"male","меклим","no",NA,"right",NA,0.756530612244898,NA
"125",1,18,"male","урок","yes","space","right",1.39985890011303,0.750068027210884,0.75006802721088
"126",1,18,"male","утюг","yes","space","right",1.24707120005041,0.663061224489796,0.6630612244898
"127",1,18,"male","буква","yes","space","right",1.06611439981498,0.522380952380952,0.380690388976103
"128",1,18,"male","щётка","yes","space","right",1.08962800004519,0.649909297052154,0.539621239800268
"129",1,18,"male","реплен","no",NA,"right",NA,0.755056689342404,NA
"130",1,18,"male","забор","yes","space","right",1.27026050002314,0.778662131519274,0.77866213151927
"131",1,18,"male","толье","no",NA,"right",NA,0.674988662131519,NA
"132",1,18,"male","пицца","yes","space","right",1.13445520005189,0.633106575963719,0.511480642877116
"133",1,18,"male","ортонь","no",NA,"right",NA,0.660181405895692,NA
"134",1,18,"male","депьял","no",NA,"right",NA,0.698095238095238,NA
"135",1,18,"male","кусок","yes","space","right",1.28819170012139,0.890136054421769,0.89013605442177
"136",1,18,"male","кальпон","no",NA,"right",NA,0.788616780045352,NA
"137",1,18,"male","жикно","no",NA,"right",NA,0.718367346938775,NA
"138",1,18,"male","найта","no",NA,"right",NA,0.630680272108844,NA
"139",1,18,"male","выгло","no",NA,"right",NA,0.667823129251701,NA
"140",1,18,"male","гжольты","no",NA,"right",NA,0.766825396825397,NA
"141",1,18,"male","бекня","no",NA,"right",NA,0.681383219954649,NA
"142",1,18,"male","гласпы","no",NA,"right",NA,0.725351473922902,NA
"143",1,18,"male","черсы","no",NA,"right",NA,0.742879818594104,NA
"144",1,18,"male","голос","yes","space","right",1.08498489996418,0.714013605442177,0.71401360544218
"145",1,18,"male","дипа","no",NA,"right",NA,0.633968253968254,NA
"146",1,18,"male","каврам","no",NA,"right",NA,0.735283446712018,NA
"147",1,18,"male","теньтефь","no",NA,"right",NA,0.901111111111111,NA
"148",1,18,"male","выньце","no",NA,"right",NA,0.765102040816326,NA
"149",1,18,"male","кулак","yes","space","right",1.11396350013092,0.830884353741497,0.8308843537415
"150",1,18,"male","масло","yes","space","right",1.18277509999461,0.770408163265306,0.77040816326531
"151",1,18,"male","отец","yes","space","right",1.11417109984905,0.718321995464853,0.71832199546485
"152",1,18,"male","ускут","no",NA,"right",NA,0.757120181405896,NA
"153",1,18,"male","камень","yes","space","right",1.05283250007778,0.714263038548753,0.71426303854875
"154",1,18,"male","глисо","no",NA,"right",NA,0.702448979591837,NA
"155",1,18,"male","шорты","yes","space","right",1.12606530007906,0.664784580498866,0.66478458049887
"156",1,18,"male","ержин","no",NA,"right",NA,0.750385487528345,NA
"157",1,18,"male","поезд","yes","space","right",1.37187570007518,0.866145124716553,0.86614512471655
"158",1,18,"male","зейпан","no",NA,"right",NA,0.752040816326531,NA
"159",1,18,"male","цвутня","no",NA,"right",NA,0.804467120181406,NA
"160",1,18,"male","волос","yes","space","right",1.05761140002869,0.623061224489796,0.6230612244898
"161",1,18,"male","лапа","yes","space","right",1.08868529996835,0.580952380952381,0.58095238095238
"162",1,18,"male","шада","no",NA,"right",NA,0.650544217687075,NA
"163",1,18,"male","шапань","no",NA,"right",NA,0.761043083900227,NA
"164",1,18,"male","горох","yes","space","right",1.11537529993802,0.766893424036281,0.76689342403628
"165",1,18,"male","рукав","yes","space","right",1.30259849992581,0.77297052154195,0.77297052154195
"166",1,18,"male","битля","no",NA,"right",NA,0.60390022675737,NA
"167",1,18,"male","баран","yes","space","right",1.20412699994631,0.726235827664399,0.7262358276644
"168",1,18,"male","икруп","no",NA,"right",NA,0.650566893424036,NA
"169",1,18,"male","люрык","no",NA,"right",NA,0.659569160997732,NA
"170",1,18,"male","тойза","no",NA,"right",NA,0.659659863945578,NA
"171",1,18,"male","белка","yes","space","right",1.17733930004761,0.679818594104308,0.553400988810824
"172",1,18,"male","огонь","yes","space","right",1.13097970001399,0.522131519274376,0.52213151927438
"173",1,18,"male","изюм","yes","space","right",1.11178979999386,0.669297052154195,0.66929705215419
"174",1,18,"male","ветер","yes","space","right",1.08285999996588,0.685034013605442,0.461707285812876
"175",1,18,"male","небо","yes","space","right",1.04331149999052,0.587097505668934,0.433373910967895
"176",1,18,"male","ноготь","yes","space","right",1.48422139999457,0.619183673469388,0.357570849407583
"177",1,18,"male","краска","yes","space","right",1.2421830999665,0.737392290249433,0.626090280231904
"178",1,18,"male","сосед","yes","space","right",1.2741715000011,0.885328798185941,0.88532879818594
"179",1,18,"male","песня","yes","space","right",1.06188650010154,0.630022675736961,0.63002267573696
"180",1,18,"male","цупка","no",NA,"right",NA,0.631609977324263,NA
"181",1,18,"male","макичь","no",NA,"right",NA,0.731859410430839,NA
"182",1,18,"male","карман","yes","space","right",1.44881140021607,0.803083900226757,0.80308390022676
"183",1,18,"male","куше","no",NA,"right",NA,0.700226757369614,NA
"184",1,18,"male","лоур","no",NA,"right",NA,0.573809523809524,NA
"185",1,18,"male","гритня","no",NA,"right",NA,0.793310657596372,NA
"186",1,18,"male","стободь","no",NA,"right",NA,0.883537414965986,NA
"187",1,18,"male","чехвинь","no",NA,"right",NA,0.846349206349206,NA
"188",1,18,"male","пагочь","no",NA,"right",NA,0.759387755102041,NA
"189",1,18,"male","фектет","no",NA,"right",NA,0.825600907029478,NA
"190",1,18,"male","свеммо","no",NA,"right",NA,0.761360544217687,NA
"191",1,18,"male","выремь","no",NA,"right",NA,0.675260770975057,NA
"192",1,18,"male","фопьяк","no",NA,"right",NA,0.848185941043084,NA
"193",1,18,"male","ключи","yes","space","right",1.24139560014009,0.788843537414966,0.78884353741497
"194",1,18,"male","агва","no",NA,"right",NA,0.526938775510204,NA
"195",1,18,"male","ящик","yes","space","right",1.07378640002571,0.838571428571429,0.83857142857143
"196",1,18,"male","вепемь","no",NA,"right",NA,0.682517006802721,NA
"197",1,18,"male","целдер","no",NA,"right",NA,0.830453514739229,NA
"198",1,18,"male","сердце","yes","space","right",1.26095910021104,0.813854875283447,0.687032158036256
"199",1,18,"male","рыба","yes","space","right",1.11121110012755,0.6359410430839,0.6359410430839
"200",1,18,"male","берег","yes","space","right",1.10877160006203,0.736009070294785,0.73600907029478
"201",1,18,"male","кеппет","no",NA,"right",NA,0.693151927437642,NA
"202",1,18,"male","шулкан","no",NA,"right",NA,0.857528344671202,NA
"203",1,18,"male","акань","no",NA,"right",NA,0.607074829931973,NA
"204",1,18,"male","овца","yes","space","right",1.13746759993955,0.596303854875283,0.59630385487528
"205",1,18,"male","банка","yes","space","right",1.45623220014386,0.693741496598639,0.69374149659864
"206",1,18,"male","лето","yes","space","right",1.44122219993733,0.634988662131519,0.63498866213152
"207",1,18,"male","кролик","yes","space","right",1.24085829989053,0.823650793650794,0.82365079365079
"208",1,18,"male","слеза","yes","space","right",1.17010260000825,0.724761904761905,0.7247619047619
"209",1,18,"male","утро","yes","space","right",1.23921720008366,0.494761904761905,0.349725668504448
"210",1,18,"male","фазлек","no",NA,"right",NA,0.869047619047619,NA
"211",1,18,"male","сапог","yes","space","right",1.43702069995925,0.83124716553288,0.83124716553288
"212",1,18,"male","сьюва","no",NA,"right",NA,0.69875283446712,NA
"213",1,18,"male","грунир","no",NA,"right",NA,0.666235827664399,NA
"214",1,18,"male","деньги","yes","space","right",1.12639360013418,0.675646258503401,0.562353123067408
"215",1,18,"male","река","yes","space","right",1.09025279991329,0.572380952380952,0.57238095238095
"216",1,18,"male","тричок","no",NA,"right",NA,0.895736961451247,NA
"217",1,18,"male","штокса","no",NA,"right",NA,0.81530612244898,NA
"218",1,18,"male","волна","yes","space","right",1.35912139993161,0.749977324263039,0.74997732426304
"219",1,18,"male","сдажка","no",NA,"right",NA,0.791065759637188,NA
"220",1,18,"male","тоюнт","no",NA,"right",NA,0.912698412698413,NA
"221",1,18,"male","бодор","no","space","wrong",1.06850500009023,0.607165532879819,NA
"222",1,18,"male","тряпка","yes","space","right",1.87140250019729,0.816281179138322,0.699292980280192
"223",1,18,"male","лоча","no",NA,"right",NA,0.659591836734694,NA
"224",1,18,"male","бутфиль","no",NA,"right",NA,0.848004535147392,NA
"225",1,18,"male","галесь","no",NA,"right",NA,0.75265306122449,NA
"226",1,18,"male","десья","no",NA,"right",NA,0.643696145124717,NA
"227",1,18,"male","дочка","yes","space","right",1.12337909988128,0.775238095238095,0.643943191311612
"228",1,18,"male","щека","yes","space","right",1.09191469987854,0.579229024943311,0.57922902494331
"229",1,18,"male","кефир","yes","space","right",1.01492030010559,0.705147392290249,0.402890104592291
"230",1,18,"male","осень","yes","space","right",1.01655859989114,0.644920634920635,0.64492063492063
"231",1,18,"male","лазоть","no",NA,"right",NA,0.704444444444444,NA
"232",1,18,"male","плинка","no",NA,"right",NA,0.8118820861678,NA
"233",1,18,"male","танец","yes","space","right",1.17745020007715,0.809229024943311,0.80922902494331
"234",1,18,"male","гаслень","no",NA,"right",NA,0.849954648526077,NA
"235",1,18,"male","кошка","yes","space","right",1.08404120011255,0.731337868480726,0.577641603707713
"236",1,18,"male","осчинь","no",NA,"right",NA,0.685192743764172,NA
"237",1,18,"male","рацма","no",NA,"right",NA,0.73297052154195,NA
"238",1,18,"male","палец","yes","space","right",1.1090294001624,0.68453514739229,0.68453514739229
"239",1,18,"male","пакет","yes",NA,"wrong",NA,0.960634920634921,0.96063492063492
"240",1,18,"male","перо","yes","space","right",1.1225403000135,0.623741496598639,0.62374149659864
"241",1,18,"male","лодка","yes","space","right",1.35647220001556,0.566326530612245,0.45504329004329
"242",1,18,"male","посмак","no",NA,"right",NA,0.849138321995465,NA
"243",1,18,"male","ответ","yes","space","right",1.07698890008032,0.72827664399093,0.72827664399093
"244",1,18,"male","фонарь","yes","space","right",1.295689499937,0.806349206349206,0.80634920634921
"245",1,18,"male","число","yes","space","right",1.25385310011916,0.712040816326531,0.57089109956945
"246",1,18,"male","дети","yes","space","right",1.1989322998561,0.613265306122449,0.61326530612245
"247",1,18,"male","гора","yes","space","right",1.25759660010226,0.634308390022676,0.63430839002268
"248",1,18,"male","паук","yes","space","right",1.08504600008018,0.652426303854875,0.65242630385488
"249",1,18,"male","зубы","yes","space","right",1.02116120001301,0.573537414965986,0.57353741496599
"250",1,18,"male","крыло","yes","space","right",1.23423210019246,0.67156462585034,0.67156462585034
"251",1,18,"male","лонрог","no",NA,"right",NA,0.735147392290249,NA
"252",1,18,"male","книга","yes","space","right",1.08692620019428,0.7540589569161,0.7540589569161
"253",1,18,"male","этаж","yes","space","right",1.13559750001878,0.703877551020408,0.70387755102041
"254",1,18,"male","кадинь","no",NA,"right",NA,0.69968253968254,NA
"255",1,18,"male","интец","no",NA,"right",NA,0.780136054421769,NA
"256",1,18,"male","труба","yes","space","right",1.04302210011519,0.66827664399093,0.66827664399093
"257",1,18,"male","вилка","yes","space","right",1.07322450005449,0.668231292517007,0.525967865241334
"258",1,18,"male","муха","yes","space","right",1.11282730009407,0.649795918367347,0.511521775376817
"259",1,18,"male","нупог","no",NA,"right",NA,0.775238095238095,NA
"260",1,18,"male","завод","yes","space","right",1.26091680000536,0.791043083900227,0.79104308390023
"261",1,18,"male","запах","yes","space","right",1.33412349992432,0.720226757369615,0.72022675736961
"262",1,18,"male","тивло","no",NA,"right",NA,0.674580498866213,NA
"263",1,18,"male","снылька","no",NA,"right",NA,0.819160997732426,NA
"264",1,18,"male","кукла","yes","space","right",1.15081700007431,0.694308390022676,0.572655050686409
"265",1,18,"male","номер","yes","space","right",1.05886929994449,0.71843537414966,0.44210136130771
"266",1,18,"male","жеглин","no",NA,"right",NA,0.764965986394558,NA
"267",1,18,"male","кулун","no",NA,"right",NA,0.730566893424036,NA
"268",1,18,"male","лицо","yes","space","right",1.09252709988505,0.62031746031746,0.62031746031746
"269",1,18,"male","письмо","yes","space","right",0.990996799897403,0.657709750566893,0.510447625033973
"270",1,18,"male","доктор","yes","space","right",0.999025099910796,0.705056689342404,0.7050566893424
"271",1,18,"male","южжичь","no",NA,"right",NA,0.776077097505669,NA
"272",1,18,"male","конец","yes","space","right",1.11174559989013,0.761655328798186,0.76165532879819
"273",1,18,"male","лошадь","yes","space","right",1.21243300009519,0.719024943310658,0.552715938634305
"274",1,18,"male","веньмо","no",NA,"right",NA,0.687414965986395,NA
"275",1,18,"male","дача","yes",NA,"wrong",NA,0.698367346938776,0.69836734693878
"276",1,18,"male","песок","yes","space","right",1.0698935999535,0.772222222222222,0.77222222222222
"277",1,18,"male","ведро","yes","space","right",1.12732640001923,0.662517006802721,0.453723941189378
"278",1,18,"male","весна","yes","space","right",1.07327479985543,0.604421768707483,0.60442176870748
"279",1,18,"male","велла","no",NA,"right",NA,0.54671201814059,NA
"280",1,18,"male","журтынь","no",NA,"right",NA,0.822199546485261,NA
"281",1,18,"male","стена","yes","space","right",1.09530130005442,0.737573696145125,0.73757369614512
"282",1,18,"male","леньез","no",NA,"right",NA,0.84546485260771,NA
"283",1,18,"male","пчела","yes","space","right",0.997566299978644,0.787233560090703,0.560405954726539
"284",1,18,"male","баларь","no",NA,"right",NA,0.701111111111111,NA
"285",1,18,"male","цветок","yes","space","right",1.80794569989666,0.915895691609977,0.91589569160998
"286",1,18,"male","щулька","no",NA,"right",NA,0.743537414965986,NA
"287",1,18,"male","ванна","yes","space","right",1.13632689998485,0.687324263038549,0.68732426303855
"288",1,18,"male","кресло","yes","space","right",1.1396077000536,0.733197278911565,0.591110628041426
"289",1,18,"male","пестце","no",NA,"right",NA,0.743650793650794,NA
"290",1,18,"male","игра","yes","space","right",0.923731800168753,0.518526077097506,0.51852607709751
"291",1,18,"male","кугур","no",NA,"right",NA,0.767777777777778,NA
"292",1,18,"male","вода","yes","space","right",0.9843397999648,0.658185941043084,0.457337819185645
"293",1,18,"male","окно","yes","space","right",1.05039070011117,0.573854875283447,0.429897837286254
"294",1,18,"male","музей","yes","space","right",1.06359919998795,0.818707482993197,0.8187074829932
"295",1,18,"male","кожа","yes","space","right",1.16453570011072,0.719614512471655,0.71961451247166
"296",1,18,"male","пальто","yes","space","right",1.14400329999626,0.724512471655329,0.559208736393128
"297",1,18,"male","зима","yes","space","right",1.08858509990387,0.635102040816326,0.63510204081633
"298",1,18,"male","обед","yes","space","right",1.05243770009838,0.723990929705215,0.72399092970522
"299",1,18,"male","корень","yes","space","right",1.17880790005438,0.744036281179138,0.74403628117914
"300",1,18,"male","вагон","yes","space","right",1.23464309982956,0.825714285714286,0.82571428571429
"301",1,18,"male","нраты","no",NA,"right",NA,0.591746031746032,NA
"302",1,18,"male","вуган","no",NA,"right",NA,0.680385487528345,NA
"303",1,18,"male","ручка","yes","space","right",1.10760400001891,0.735714285714286,0.466105957534529
"304",1,18,"male","плиттер","no",NA,"right",NA,0.817868480725624,NA
"305",1,18,"male","нарняк","no",NA,"right",NA,0.731609977324263,NA
"306",1,18,"male","шнеток","no",NA,"right",NA,0.893106575963719,NA
"307",1,18,"male","хальдан","no",NA,"right",NA,0.722176870748299,NA
"308",1,18,"male","банан","yes","space","right",1.01128099998459,0.678049886621315,0.67804988662132
"309",1,18,"male","лермей","no",NA,"right",NA,0.685374149659864,NA
"310",1,18,"male","такслир","no",NA,"right",NA,0.86312925170068,NA
"311",1,18,"male","транка","no",NA,"right",NA,0.792018140589569,NA
"312",1,18,"male","лиса","yes","space","right",1.08808719995432,0.603174603174603,0.6031746031746
"313",1,18,"male","цатка","no",NA,"right",NA,0.721859410430839,NA
"314",1,18,"male","ухо","yes","space","right",0.892106000101194,0.554739229024943,0.55473922902494
"315",1,18,"male","дактон","no",NA,"right",NA,0.758412698412698,NA
"316",1,18,"male","язык","yes","space","right",1.07615879992954,0.780680272108843,0.78068027210884
"317",1,18,"male","зула","no",NA,"right",NA,0.588367346938775,NA
"318",1,18,"male","юктус","no",NA,"right",NA,0.802244897959184,NA
"319",1,18,"male","билет","yes","space","right",1.11944310017861,0.815328798185941,0.81532879818594
"320",1,18,"male","свеча","yes","space","right",1.1648836999666,0.661269841269841,0.66126984126984
"321",2,18,"female","щека","yes","space","right",0.9894304999616,0.579229024943311,0.57922902494331
"322",2,18,"female","жикно","no",NA,"right",NA,0.718367346938775,NA
"323",2,18,"female","глаза","yes","space","right",1.02645819983445,0.652448979591837,0.65244897959184
"324",2,18,"female","вода","yes","space","right",0.966456399997696,0.658185941043084,0.457337819185645
"325",2,18,"female","слово","yes","space","right",1.05194410006516,0.727210884353741,0.72721088435374
"326",2,18,"female","шнеток","no",NA,"right",NA,0.893106575963719,NA
"327",2,18,"female","ержин","no",NA,"right",NA,0.750385487528345,NA
"328",2,18,"female","реплен","no",NA,"right",NA,0.755056689342404,NA
"329",2,18,"female","этаж","yes","space","right",0.934587599942461,0.703877551020408,0.70387755102041
"330",2,18,"female","черан","no",NA,"right",NA,0.672517006802721,NA
"331",2,18,"female","утка","yes","space","right",0.852525800000876,0.554943310657596,0.426872095372802
"332",2,18,"female","дети","yes","space","right",0.919350800104439,0.613265306122449,0.61326530612245
"333",2,18,"female","найта","no",NA,"right",NA,0.630680272108844,NA
"334",2,18,"female","часы","yes","space","right",0.922044199891388,0.658888888888889,0.65888888888889
"335",2,18,"female","мероть","no",NA,"right",NA,0.657278911564626,NA
"336",2,18,"female","ветер","yes","space","right",0.981902299914509,0.685034013605442,0.461707285812876
"337",2,18,"female","горох","yes","space","right",1.03771999990568,0.766893424036281,0.76689342403628
"338",2,18,"female","лицо","yes","space","right",0.899735999992117,0.62031746031746,0.62031746031746
"339",2,18,"female","месяц","yes","space","right",1.14820409985259,0.859365079365079,0.85936507936508
"340",2,18,"female","поезд","yes","space","right",1.18392469990067,0.866145124716553,0.86614512471655
"341",2,18,"female","люрык","no",NA,"right",NA,0.659569160997732,NA
"342",2,18,"female","стободь","no",NA,"right",NA,0.883537414965986,NA
"343",2,18,"female","зула","no",NA,"right",NA,0.588367346938775,NA
"344",2,18,"female","берег","yes","space","right",0.923863000003621,0.736009070294785,0.73600907029478
"345",2,18,"female","ноготь","yes","space","right",1.01383760012686,0.619183673469388,0.357570849407583
